# Chinese → Japanese offline glosses
# Source: open-dict-data/wikidict-ja (Wikidata interwiki links)
# Upstream: https://github.com/open-dict-data/wikidict-ja
# License: CC0 1.0 Universal
# Scope: pure-Han entries present in bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
吖丁啶	アゼチジン
斯肯索普	スカンソープ
斯库拉	スキュラ
斯拉夫人	スラヴ人
斯雷布雷尼察	スレブレニツァ
斯利那加	シュリーナガル
斯洛伐克	スロバキア
斯洛伐克人	スロバキア人
斯洛伐克语	スロバキア語
斯洛文尼亚	スロベニア
斯摩棱斯克	スモレンスク
斯诺	スノー
斯诺克	スヌーカー
斯帕克斯	スパークス
斯皮什城堡	スピシュスキー城
斯普利特	スプリト
斯普林菲尔德	スプリングフィールド
斯石英	スティショバイト
斯塔福德	スタッフォード (イングランド)
斯塔万格	スタヴァンゲル
斯泰恩谢尔	スタインシャー
斯坦	スターン (地名)
斯特拉	ストラ (イタリア)
斯特拉斯堡	ストラスブール
斯特拉特福	ストラトフォード
斯特鲁普效应	ストループ効果
斯图加特	シュトゥットガルト
斯图亚特	ステュアート
斯图亚特王朝	ステュアート朝
斯托剌	ストラス
斯托伊科维奇	ストイコヴィッチ
斯陀含	一来
斯瓦尔巴	スヴァールバル諸島
斯瓦希里语	スワヒリ語
斯旺西	スウォンジー
斯威士兰	スワジランド
斯温顿	スウィンドン
斯沃琪	スウォッチ
锶	ストロンチウム
死光	殺人光線
死海	死海
死海古卷	死海文書
死后文	シゴフミ
死魂盒	ポゼッション (2012年の映画)
死魂曲	SIREN
死活	死活
死火山	死火山
死机	クラッシュ (コンピュータ)
死路	クルドサック
死球	ボールデッド
死神	死神
死神之子	チルドレン・オブ・ボドム
死侍	デッドプール
死水	止水域
死锁	デッドロック
死亡	死
死亡笔记	DEATH NOTE
死亡代理人	Ergo Proxy
死亡谷	デスヴァレー (カリフォルニア州)
死亡率	死亡率
死亡诗社	いまを生きる
死刑	死刑
死刑犯	死刑囚
死刑缓期执行	死刑執行猶予
死者之书	死者の書 (古代エジプト)
巳	巳
四白穴	四白穴
四叉树	四分木
四翅月见草	ツキミソウ
四冲程循环	4ストローク機関
四川大熊猫栖息地	四川省のジャイアントパンダ保護区
四川航空	四川航空
四川泡菜	四川泡菜
四川盆地	四川盆地
四川省	四川省
四川音乐学院	四川音楽学院
四川长江职业学院	四川長江職業学院
四次方程	四次方程式
四次元口袋	四次元ポケット
四大	四大
四大发明	古代中国の四大発明
四大佛教名山	中国四大仏教名山
四大家鱼	四大家魚
四大天王	四天王
四谛	四諦
四方区	四方区
四方山	四方山 (香港)
四方台区	四方台区
四分律	四分律
四氟化硅	四フッ化ケイ素
四氟乙烯	テトラフルオロエチレン
四个现代化	四つの近代化
四姑娘山	四姑娘山
四合院	四合院
四呼	四呼
四会市	四会市
四惠东站	四恵東駅
四惠站	四恵駅
四季豆	サヤインゲン
四季酒店	フォーシーズンズホテル
四季童子	四季童子
四角蛤蜊	シオフキガイ
四角号码	四角号碼
四阶魔方	ルービックリベンジ
四棱豆	シカクマメ
四氯化钛	塩化チタン(IV)
四氯化碳	四塩化炭素
四氯乙烯	テトラクロロエチレン
四轮驱动	四輪駆動
四民	士農工商
四念住	四念処
四平市	四平市
四氢大麻酚	テトラヒドロカンナビノール
四氢呋喃	テトラヒドロフラン
四氢化萘	テトラリン
四氢噻吩	テトラヒドロチオフェン
四人帮	四人組
四日市市	四日市市
四色定理	四色定理
四色牌	四色牌
四生	四生
四十八手	四十八手
四书五经	四書五経
四双	クアドルプル・ダブル
四天	四天
四天王寺	四天王寺
四维空间	4次元
四五运动	四五天安門事件
四喜和	四喜和
四项基本原则	四つの基本原則
四象	四神
四硝基甲烷	テトラニトロメタン
四行仓库保卫战	四行倉庫の戦い
四姓	四姓
四凶	四凶
四眼天鸡	チキン・リトル
四氧化锇	酸化オスミウム(VIII)
四氧化三铁	四酸化三鉄
四夷	四夷
四月初八	4月8日 (旧暦)
四月初九	4月9日 (旧暦)
四月初六	4月6日 (旧暦)
四月初三	4月3日 (旧暦)
四月初四	4月4日 (旧暦)
四月初五	4月5日 (旧暦)
四月初一	4月1日 (旧暦)
四月二十	4月20日 (旧暦)
四月三十	4月30日 (旧暦)
四月十八	4月18日 (旧暦)
四月十二	4月12日 (旧暦)
四月十九	4月19日 (旧暦)
四月十六	4月16日 (旧暦)
四月十七	4月17日 (旧暦)
四月十三	4月13日 (旧暦)
四月十四	4月14日 (旧暦)
四月十五	4月15日 (旧暦)
四月十一	4月11日 (旧暦)
四月物语	四月物語
四照花	ヤマボウシ
四正勤	四正勤
四智	四智
四轴飞行器	クワッドローター
四子王旗	四子王旗
似然函数	尤度関数
寺岛忍	寺島しのぶ
寺内寿一	寺内寿一
寺崎裕香	寺崎裕香
寺山修司	寺山修司
寺子屋	寺子屋
泗洪县	泗洪県
泗水	泗水
泗水县	泗水県
泗县	泗県
泗阳县	泗陽県
饲料	飼料
嗣德帝	嗣徳帝
松坂城	松坂城
松坂桃李	松坂桃李
松坂屋	松坂屋
松北区	松北区
松本	松本
松本保典	松本保典
松本城	松本城
松本梨香	松本梨香
松本零士	松本零士
松本清	マツモトキヨシ
松本清张	松本清張
松本若菜	松本若菜
松本市	松本市
松本孝弘	松本孝弘
松本友	マツモトトモ
松材线虫	マツ材線虫病
松村北斗	松村北斗
松村沙友理	松村沙友理
松代城	松代城
松恩峡湾	ソグネ・フィヨルド
松冈利胜	松岡利勝
松谷卓	松谷卓
松花湖	松花湖
松花江	松花江
松鸡	ヨーロッパオオライチョウ
松江	松江
松江城	松江城
松江府	松江府
松江南站	松江南駅
松江区	松江区
松江市	松江市
松节油	テレビン油
松井爱莉	松井愛莉
松井菜樱子	松井菜桜子
松井玲奈	松井玲奈
松井石根	松井石根
松井秀喜	松井秀喜
松科	マツ科
松岭区	松嶺区
松隆子	松たか子
松露	セイヨウショウロ
松露巧克力	トリュフチョコレート
松嫩平原	松嫩平原
松潘县	松潘県
松平健	松平健
松平健太	松平健太
松浦亚弥	松浦亜弥
松前城	松前城
松球	松かさ
松茸	マツタケ
松山	松山
松山城	松山城
松山千春	松山千春
松山市	松山市
松山研一	松山ケンイチ
松鼠	リス
松鼠猴	コモンリスザル
松桃苗族自治县	松桃ミャオ族自治県
松田	松田
松田彬人	松田彬人
松田理沙	松田理沙
松田翔太	松田翔太
松尾芭蕉	松尾芭蕉
松溪县	松渓県
松下幸之助	松下幸之助
松香	ロジン
松姓	松 (姓)
松雪泰子	松雪泰子
松阳县	松陽県
松叶菊	マツバギク
松叶蕨	マツバラン
松永久秀	松永久秀
松永雪希	松永雪希
松永真穗	松永真穂
松油	松根油
松油醇	テルピネオール
松元惠	松元惠
松原大典	松原大典
松原市	松原市 (吉林省)
松赞干布	ソンツェン・ガンポ
松泽由美	松澤由美
松智洋	松智洋
松竹	松竹
松滋市	松滋市
松子	松の実
淞虹路站	淞虹路駅
淞沪会战	第二次上海事変
淞沪铁路	淞滬鉄道
嵩明县	嵩明県
嵩山	嵩山
嵩县	嵩県
嵩岳寺塔	嵩岳寺塔
楤木属	タラノキ属
宋	宋
宋朝	宋 (王朝)
宋楚瑜	宋楚瑜
宋慈	宋慈
宋戴公	戴公 (宋)
宋度宗	度宗
宋端宗	端宗 (宋)
宋高宗	高宗 (宋)
宋恭帝	恭帝 (宋)
宋光宗	光宗 (宋)
宋国	宋 (春秋)
宋皇后	宋皇后
宋徽宗	徽宗
宋佳	宋佳
宋家皇朝	宋家の三姉妹
宋家庄站	宋家荘駅
宋江	宋江
宋教仁	宋教仁
宋璟	宋エイ
宋珏	宋カク
宋卡府	ソンクラー県
宋康昊	ソン・ガンホ
宋康王	康王 (宋)
宋理宗	理宗
宋濂	宋濂
宋明帝	明帝 (南朝宋)
宋宁宗	寧宗 (宋)
宋平	宋平
宋祁	宋祁
宋谦	宋謙
宋茜	ビクトリア (中華人民共和国の歌手)
宋钦宗	欽宗
宋庆	宋慶
宋庆龄	宋慶齢
宋仁宗	仁宗 (宋)
宋任穷	宋任窮
宋神宗	神宗 (宋)
宋史	宋史
宋书	宋書
宋顺帝	順帝 (南朝宋)
宋太宗	太宗 (宋)
宋泰坤	宋泰坤
宋体	明朝体
宋文帝	文帝 (南朝宋)
宋文公	文公 (宋)
宋武帝	劉裕
宋襄公	襄公 (宋)
宋孝武帝	孝武帝 (南朝宋)
宋孝宗	孝宗 (宋)
宋姓	宋 (姓)
宋宣公	宣公 (宋)
宋雪林	宋雪林
宋应星	宋応星
宋英宗	英宗 (宋)
宋哲元	宋哲元
宋哲宗	哲宗 (宋)
宋真宗	真宗 (宋)
宋之问	宋之問
宋智孝	ソン・ジヒョ
宋仲基	ソン・ジュンギ
宋子安	宋子安
宋子良	宋子良
宋子文	宋子文
宋祖英	宋祖英
搜狗拼音输入法	捜狗ピン音入力方法
搜狐	捜狐
搜神记	捜神記
搜索引擎	検索エンジン
搜索者	捜索者
苏	蘇 (曖昧さ回避)
苏必利尔湖	スペリオル湖
苏炳添	蘇炳添
苏菜	江蘇料理
苏丹共和国	スーダン
苏丹红	スーダンレッド
苏德战争	独ソ戦
苏定方	蘇定方
苏俄牧羊犬	ボルゾイ
苏格拉底	ソクラテス
苏公塔	蘇公塔
苏蕙	蘇ケイ
苏家屯区	蘇家屯区
苏克雷	スクレ (ボリビア)
苏拉特	スーラト
苏拉威西岛	スラウェシ島
苏黎世	チューリッヒ
苏黎世湖	チューリッヒ湖
苏黎世联邦理工学院	チューリッヒ工科大学
苏黎世州	チューリッヒ州
苏联	ソビエト連邦
苏联共产党	ソビエト連邦共産党
苏联国旗	ソビエト連邦の国旗
苏联红军	赤軍
苏联解体	ソ連崩壊
苏联农业集体化	ソビエト連邦における農業集団化
苏联武装力量	ソビエト連邦軍
苏联最高苏维埃	ソビエト連邦最高会議
苏禄海	スールー海
苏曼殊	蘇曼殊
苏梅岛	サムイ島
苏美尔	シュメール
苏门答腊虎	スマトラトラ
苏门答腊犀牛	スマトラサイ
苏姆盖特	スムガイト
苏尼特右旗	ソニド右旗
苏尼特左旗	ソニド左旗
苏宁云商	蘇寧電器
苏秦	蘇秦
苏珊娜	スザンナ
苏轼	蘇軾
苏舜钦	蘇舜欽
苏糖	トレオース
苏韦达省	スワイダー県
苏维埃	ソビエト
苏味道	蘇味道
苏武	蘇武
苏仙区	蘇仙区
苏姓	蘇 (姓)
苏宣	蘇宣
苏洵	蘇洵
苏岩礁	蘇岩礁
苏伊士	スエズ
苏伊士运河	スエズ運河
苏辙	蘇轍
苏州北站	蘇州北駅
苏州工业园区	蘇州工業園区
苏州街站	蘇州街駅
苏州码子	蘇州号碼
苏州市	蘇州市
苏州园林	蘇州古典園林
苏州站	蘇州駅
苏兹达尔	スーズダリ
苏族	スー族
酥油茶	バター茶
俗字	俗字
诉讼代理人	訴訟代理人
诉讼费	訴訟費用
肃北蒙古族自治县	粛北モンゴル族自治県
肃南裕固族自治县	粛南ユグル族自治県
肃宁县	粛寧県
肃亲王	粛親王
肃慎	粛慎
肃顺	粛順
肃州区	粛州区
涑水记闻	ソク水紀聞
素描	素描
素描簿	スケッチブック
素女	素女
素数	素数
素馨花	ソケイ
素性	素性
素性测试	素数判定
速比涛	SPEEDO
速不台	スブタイ
速动比率	当座比率
速度	速度
速度滑冰	スピードスケート
速汇金	マネーグラム
速记	速記
速率	速さ
速水直道	速水もこみち
宿城区	宿城区
宿命论	宿命論
宿迁市	宿遷市
宿舍	寮
宿松县	宿松県
宿豫区	宿豫区
宿州市	宿州市
宿主	宿主
宿醉	二日酔い
粟裕	粟裕
嗉囊	素嚢
塑料	合成樹脂
塑料袋	レジ袋
塑料模型	プラモデル
塑像	塑像
溯溪	沢登り
狻猊	サン猊
酸	酸
酸菜	酸菜
酸豆	タマリンド
酸酐	カルボン酸無水物
酸碱指示剂	酸塩基指示薬
酸浆	ホオズキ
酸梅	梅干し
酸模	スイバ
酸奶	ヨーグルト
酸奶油	サワークリーム
酸性气体	酸性ガス
酸性氧化物	酸性酸化物
酸雨	酸性雨
酸值	酸価
蒜	ニンニク
算筹	算木
算法	アルゴリズム
算法分析	アルゴリズム解析
算盘	アバカス
算术	算術
算术编码	算術符号
算术基本定理	算術の基本定理
算术平均数	算術平均
睢宁县	ケイ寧県
睢县	キ県
睢阳区	キ陽区
濉溪县	スイ渓県
绥滨县	綏浜県
绥德县	綏徳県
绥芬河	綏芬河
绥芬河市	綏芬河市
绥芬河站	綏芬河駅
绥化市	綏化市
绥江县	綏江県
绥靖主义	宥和政策
绥棱县	綏リョウ県
绥宁县	綏寧県
绥阳县	綏陽県
绥中县	綏中県
隋朝	隋
隋菲菲	隋菲菲
隋恭帝	恭帝侑
隋书	隋書
隋文帝	楊堅
隋文静	隋文静
隋炀帝	煬帝
隋与高句丽的战争	隋の高句麗遠征
随笔	随筆
随机变量	確率変数
随机存取存储器	Random Access Memory
随机过程	確率過程
随机化算法	乱択アルゴリズム
随机森林	Random forest
随机数	乱数列
随机性	ランダム
随机指标	ストキャスティクス
随县	随県
随心所欲	女と男のいる舗道
随枣会战	襄東会戦
随州市	随州市
岁寒三友	歳寒三友
遂昌县	遂昌県
遂川县	遂川県
遂宁市	遂寧市
遂平县	遂平県
遂溪县	遂渓県
碎米荠	ミチタネツケバナ
碎片	カケラ (映画)
碎片大厦	ザ・シャード
碎屑岩	砕屑岩
隧道	トンネル
隧道协议	トンネリング
燧石	燧石
穗花	穂花
孙	孫
孙膑	孫ピン
孙膑兵法	孫ピン兵法
孙策	孫策
孙春兰	孫春蘭
孙德胜	トン・ドゥック・タン
孙二娘	孫二娘
孙过庭	孫過庭
孙皓	孫皓
孙红雷	孫紅雷
孙继海	孫継海
孙家栋	孫家棟
孙建	孫建
孙静	孫静
孙朗	孫朗
孙俪	孫儷
孙良诚	孫良誠
孙烈臣	孫烈臣
孙楠	孫楠
孙权	孫権
孙叔敖	孫叔敖
孙思邈	孫思バク
孙雯	孫ウェン
孙吴县	孫呉県
孙武	孫武
孙悟饭	孫悟飯
孙悟空	孫悟空
孙悟天	孫悟天
孙祥	孫祥
孙姓	孫氏
孙燕姿	孫燕姿
孙杨	孫楊
孙诒让	孫詒譲
孙政才	孫政才
孙子	孫子
孙子兵法	孫子 (書物)
孙子大传	孫子《兵法》大伝
隼	ハヤブサ属
隼鸟号	はやぶさ (探査機)
隼人	隼人
娑摩吠陀	サーマ・ヴェーダ
桫椤	ヘゴ
羧酸	カルボン酸
蓑衣	蓑
蓑羽鹤	アネハヅル
所罗巴伯	ゼルバベル
所罗门海	ソロモン海
所罗门群岛	ソロモン諸島
所有权	所有権
唢呐	チャルメラ
索波特	ソポト
索超	索超
索道	索道
索尔	トール
索福克勒斯	ソポクレス
索克	セック (北欧神話)
索拉非尼	ソラフェニブ
索里亚	ソリア
索林根	ゾーリンゲン
索伦托	ソレント
索罗亚	ゾロア
索罗亚克	ゾロアーク
索马里	ソマリア
索马里兰	ソマリランド
索米尔	ソミュール
索姆河	ソンム川
索姆河战役	ソンムの戦い
索姆省	ソンム県
索尼	ソニー
索尼动画	ソニー・ピクチャーズ アニメーション
索契	ソチ
索斯特	ゾースト
索韦托	ソウェト
索维拉	エッサウィラ
索县	ソク県
索引	索引
琐罗亚斯德	ザラスシュトラ
琐罗亚斯德教	ゾロアスター教
锁	錠前
锁存器	ラッチ回路
锁骨	鎖骨
锁相环	位相同期回路
他化自在天	他化自在天
铊	タリウム
塌棵菜	タアサイ
塔	仏塔
塔崩	タブン
塔布	タルブ
塔布克	タブーク
塔城	塔城
塔城地区	タルバガタイ地区
塔城市	チョチェク市
塔尔寺	クンブム・チャンパーリン寺
塔尔图	タルトゥ
塔尔图斯	タルトゥース
塔防游戏	タワーディフェンス
塔河县	塔河県
塔吉克斯坦	タジキスタン
塔吉克语	タジク語
塔吉克族	タジク人
塔克拉玛干沙漠	タクラマカン砂漠
塔克世	タクシ
塔拉戈纳	タラゴナ
塔拉斯	タラス
塔兰托	ターラント
塔里木河	タリム川
塔里木盆地	タリム盆地
塔利班	ターリバーン
塔利亚	タレイア (ムーサ)
塔莉雅	ダリヤ
塔林	タリン
塔罗斯	タロース (ギリシア神話)
塔木德	タルムード
塔那那利佛	アンタナナリボ
塔刹	相輪
塔什干	タシュケント
塔斯曼	タスマン地方
塔斯曼海	タスマン海
塔塔集团	タタ・グループ
塔图因	タトゥイーン
拓跋部	拓跋部
拓跋晃	拓跋晃
拓跋氏	拓跋氏
拓跋余	拓跋余
拓片	拓本
拓扑	トポロジー (曖昧さ回避)
拓扑绝缘体	トポロジカル絶縁体
拓扑空间	位相空間
拓扑学	位相幾何学
胎记	母斑
胎生	胎生
胎座	胎座
台	台
台安县	台安県
台标	ウォーターマーク
台伯河	テヴェレ川
台地	高地
台儿庄区	台児庄区
台江	台江
台江区	台江区
台江县	台江県
台前县	台前県
台山市	台山市
台湾民主自治同盟	台湾民主自治同盟
台制	台制
台中	台中
台州市	台州市
台州站	台州駅
苔藓植物	コケ植物
跆拳道	テコンドー
太安	太安
太白	太白
太白粉	片栗粉
太白山	太白山 (中国)
太白县	太白県
太保	太保
太保市	太保市
太仓市	太倉市
太昌	太昌
太常	太常
太初	太初
太刀	太刀
太地町	太地町
太丁	太丁
太妃	皇太妃
太妃糖	トフィー
太傅	太傅
太公望	呂尚
太古城	太古城
太古宙	始生代
太谷县	太谷県
太鼓	和太鼓
太浩湖	タホ湖
太和	太和
太和殿	太和殿
太和区	太和区
太和县	太和県
太赫兹	テラヘルツ波
太后	大妃
太湖	太湖
太湖石	太湖石
太湖县	太湖県
太皇太后	太皇太后
太极拳	太極拳
太极侠	ファイティング・タイガー
太甲	太甲
太建	太建
太康	太康
太康县	太康県
太空堡垒	ロボテック
太空垃圾	スペースデブリ
太空探索	宇宙開発
太空移民	宇宙移民
太空游客	宇宙旅行
太宁	太寧
太平	太平
太平公主	太平公主
太平鸟	キレンジャク
太平山	太平山
太平寺	太平寺
太平县	太平県
太平兴国	太平興国
太平洋	太平洋
太平洋短吻海豚	カマイルカ
太平洋战争	太平洋戦争
太平御览	太平御覧
太平真君	太平真君
太仆	太僕
太仆寺旗	タイブス旗
太清	太清
太上	太上
太上皇	太上皇
太师	太師
太史	太史令
太史慈	太史慈
太始	太始
太守	太守
太田道灌	太田道灌
太田雄贵	太田雄貴
太田哲治	太田哲治
太田真一郎	太田真一郎
太尉	太尉
太戊	太戊
太熙	太熙
太行山	太行山脈
太兴	太興
太延	太延
太阳	太陽
太阳半径	太陽半径
太阳帆	太陽帆
太阳风	太陽風
太阳宫站	太陽宮駅
太阳光	太陽光
太阳海岸	コスタ・デル・ソル
太阳黑子	太陽黒点
太阳活动	太陽変動
太阳门	プエルタ・デル・ソル
太阳能	太陽エネルギー
太阳能电池	太陽電池
太阳日	太陽時
太阳神	太陽神
太阳石	日長石
太阳同步轨道	太陽同期軌道
太阳系	太陽系
太阳新天地	太陽新天地
太阳星座	サン・サイン
太阳诱电	太陽誘電
太阳质量	太陽質量
太一	太一
太乙救苦天尊	太乙真人
太元	太元
太原理工大学	太原理工大学
太原市	太原市
太原武宿国际机场	太原武宿国際空港
太原站	太原駅 (中国)
太宰治	太宰治
太政大臣	太政大臣
太子丹	燕太子丹
太子党	太子党
太子港	ポルトープランス
太子河	太子河
太子河区	太子河区
太子站	太子駅 (香港)
太字节	テラバイト
太祖	太祖
太尊	おおぐま座プサイ星
态函数	状態量
态射	射 (圏論)
肽	ペプチド
肽核酸	ペプチド核酸
肽键	ペプチド結合
肽聚糖	ペプチドグリカン
肽类激素	ペプチドホルモン
钛	チタン
钛酸钡	チタン酸バリウム
钛铁矿	イルメナイト
泰	ヤス (イラストレーター)
泰安市	泰安市
泰伯	太伯・虞仲
泰昌	泰昌
泰常	泰常
泰迪熊	テディベア
泰定	泰定
泰定帝	イェスン・テムル
泰尔	ティルス
泰国	タイ王国
泰国国旗	タイの国旗
泰国历史	タイの歴史
泰国人	タイ人
泰国银行	タイ銀行
泰和县	泰和県
泰姬陵	タージ・マハル
泰克	テクトロニクス
泰拉瑞亚	Terraria
泰来县	泰来県
泰勒	テイラー
泰勒公式	テイラーの定理
泰勒级数	テイラー展開
泰勒斯	タレス
泰卢固语	テルグ語
泰米尔纳德邦	タミル・ナードゥ州
泰米尔人	タミル
泰米尔语	タミル語
泰宁县	泰寧県
泰拳	ムエタイ
泰森	タイソン
泰山	泰山
泰山区	泰山区
泰始	泰始
泰顺县	泰順県
泰坦尼克号	タイタニック (客船)
泰坦之旅	Titan Quest (ゲーム)
泰晤士报	タイムズ
泰晤士河	テムズ川
泰西封	クテシフォン
泰兴市	泰興市
泰雅族	タイヤル族
泰语	タイ語
泰豫	泰予
泰州市	泰州市
泰州学派	泰州学派
贪食蛇	ヘビゲーム
贪污	汚職
贪心法	貪欲法
瘫痪	麻痺
郯城县	タン城県
覃塘区	覃塘区
痰	痰
谭盾	譚盾
谭平山	譚平山
谭人凤	譚人鳳
谭嗣同	譚嗣同
谭延闿	譚延ガイ
谭咏文	ヨン・スティーブンソン・フォン・テッツナー
谭政	譚政
谭钟麟	譚鍾麟
檀臣幸	檀臣幸
檀道济	檀道済
檀君	檀君
檀木	香木
檀石槐	檀石槐
檀香	ビャクダン
檀香科	ビャクダン科
檀香目	ビャクダン目
檀香山	ホノルル
檀越	檀那
坦波夫	タンボフ
坦噶尼喀	タンガニーカ
坦克	戦車
坦克大战	バトルシティー
坦克两项	戦車バイアスロン
坦克炮	戦車砲
坦克世界	World of Tanks
坦佩雷	タンペレ
坦桑尼亚	タンザニア
坦桑石	タンザナイト
钽	タンタル
叹号	感嘆符
炭	炭
炭黑	すす
炭疽病	炭疽症
探戈	タンゴ
探花	探花
探空火箭	観測ロケット
探照灯	サーチライト
碳	炭素
碳化钙	炭化カルシウム
碳化硅	炭化ケイ素
碳化硼	炭化ホウ素
碳化钛	炭化チタン
碳化物	炭化物
碳纳米管	カーボンナノチューブ
碳酸	炭酸
碳酸铵	炭酸アンモニウム
碳酸钡	炭酸バリウム
碳酸根	炭酸塩
碳酸钾	炭酸カリウム
碳酸锂	炭酸リチウム
碳酸锰	炭酸マンガン(II)
碳酸钠	炭酸ナトリウム
碳酸氢铵	炭酸水素アンモニウム
碳酸氢钾	炭酸水素カリウム
碳酸氢钠	炭酸水素ナトリウム
碳酸氢盐	炭酸水素塩
碳酸水	炭酸水
碳酸锶	炭酸ストロンチウム
碳酸铜	炭酸銅(II)
碳酸银	炭酸銀(I)
碳酸饮料	炭酸飲料
碳酸酯	炭酸エステル
碳正离子	カルボカチオン
碳中和	カーボンニュートラル
碳足印	カーボンフットプリント
汤	スープ
汤川秀树	湯川秀樹
汤和	湯和
汤化龙	湯化竜
汤姆森	トムソン
汤姆斯杯	トマス杯
汤普森	トンプソン
汤若望	アダム・シャール
汤森路透	トムソン・ロイター
汤氏瞪羚	トムソンガゼル
汤寿潜	湯寿潜
汤斯维尔	タウンズビル
汤旺河区	湯旺河区
汤唯	湯唯
汤显祖	湯顕祖
汤因比	トインビー
汤阴县	湯陰県
汤玉麟	湯玉麟
汤原县	湯原県
羰基	カルボニル基
唐哀帝	哀帝 (唐)
唐蕃会盟碑	唐蕃会盟碑
唐才常	唐才常
唐朝	唐
唐代宗	代宗 (唐)
唐德宗	徳宗 (唐)
唐顿庄园	ダウントン・アビー 〜貴族とメイドと相続人〜
唐恩都乐	ダンキンドーナツ
唐高宗	高宗 (唐)
唐功红	唐功紅
唐古拉山脉	タンラ山脈
唐国强	唐国強
唐河县	唐河県
唐璜	ドン・ファン
唐会要	唐会要
唐家璇	唐家セン
唐津城	唐津城
唐景崧	唐景崧
唐敬宗	敬宗
唐炯	唐炯
唐君毅	唐君毅
唐卡	タンカ
唐卡斯特	ドンカスター
唐老鸭	ドナルドダック
唐莉	唐莉
唐隆	唐隆
唐律疏议	唐律疏義
唐明宗	李嗣源
唐穆宗	穆宗 (唐)
唐人街	中華街
唐睿宗	睿宗 (唐)
唐三彩	唐三彩
唐山大地震	唐山地震
唐山大兄	ドラゴン危機一発
唐山市	唐山市
唐殇帝	殤帝 (唐)
唐绍仪	唐紹儀
唐生智	唐生智
唐诗三百首	唐詩三百首
唐氏综合症	ダウン症候群
唐顺宗	順宗 (唐)
唐宋八大家	唐宋八大家
唐素琪	チェルシー・トン
唐太宗	太宗 (唐)
唐太宗李卫公问对	李衛公問対
唐廷枢	唐廷枢
唐韦星	唐韋星
唐文宗	文宗 (唐)
唐武宗	武宗 (唐)
唐僖宗	僖宗 (唐)
唐县	唐県
唐宪宗	憲宗 (唐)
唐姓	唐 (姓)
唐宣宗	宣宗 (唐)
唐玄宗	玄宗 (唐)
唐懿宗	懿宗 (唐)
唐寅	唐寅
唐英年	唐英年
唐与高句丽的战争	唐の高句麗出兵
唐禹哲	唐禹哲
唐招提寺	唐招提寺
唐昭宗	昭宗 (唐)
唐治平	唐治平
唐中宗	中宗 (唐)
唐庄宗	李存勗
唐咨	唐咨
堂本光一	堂本光一
堂吉诃德	ドン・キホーテ
塘沽区	塘沽区
塘沽协定	塘沽協定
塘沽站	塘沽駅 (中国国鉄)
搪瓷	琺瑯
糖胺聚糖	グリコサミノグリカン
糖醇	糖アルコール
糖萼	グリコカリックス
糖苷	配糖体
糖苷键	グリコシド結合
糖果	キャンディ
糖果蜗牛	サオトメイトヒキマイマイ
糖果屋	ヘンゼルとグレーテル
糖化	糖化反応
糖化血红蛋白	グリコヘモグロビン
糖基	グリコシル基
糖酵解	解糖系
糖精	サッカリン
糖类	炭水化物
糖蜜	糖蜜
糖尿病	糖尿病
糖尿病酮症酸中毒	糖尿病性ケトアシドーシス
糖皮质激素	糖質コルチコイド
糖醛酸	ウロン酸
糖人	飴細工
糖生物学	糖鎖生物学
糖水	糖水
糖异生	糖新生
糖用甜菜	テンサイ
糖原	グリコーゲン
糖原分解	グリコーゲンの分解
糖原生成	グリコーゲン合成
糖脂	糖脂質
螳螂	カマキリ
螳螂拳	蟷螂拳
饕餮	饕餮
洮北区	トウ北区
洮南市	トウ南市
洮州	洮州
逃兵	敵前逃亡
逃离	ランナウェイ
逃票	不正乗車
逃生梯	避難階段
桃	モモ
桃白白	桃白白
桃城区	桃城区
桃谷绘里香	桃谷エリカ
桃花花瓣	桃ノ花ビラ
桃花期	モテキ
桃花心木	マホガニー
桃花源	桃源郷
桃江县	桃江県
桃姐	桃さんのしあわせ
桃金娘	テンニンカ
桃金娘目	フトモモ目
桃井莓	桃井いちご
桃井晴子	桃井はるこ
桃井望	桃井望
桃井薰	桃井かおり
桃山	桃山
桃山区	桃山区
桃太郎	桃太郎
桃源县	桃源県
陶	陶
陶成章	陶成章
陶瓷材料	ファインセラミックス
陶笛	オカリナ
陶尔米纳	タオルミーナ
陶菲克	タウフィック・ヒダヤット
陶弘景	陶弘景
陶璜	陶コウ
陶侃	陶侃
陶器	陶芸
陶山章央	陶山章央
陶澍	陶ジュ
陶陶	タタ (ハンガリー)
陶瓦	テラコッタ
陶希圣	陶希聖
陶姓	陶 (姓)
陶渊明	陶淵明
陶哲轩	テレンス・タオ
陶喆	陶ジャー
陶铸	陶鋳
陶宗旺	陶宗旺
梼杌	檮コツ
淘宝网	淘宝網
淘金潮	ゴールドラッシュ
淘金记	黄金狂時代
淘气小亲亲	イタズラなKiss
淘汰制	トーナメント方式
套利	裁定取引
忒弥斯	テミス
忒提斯	テティス
忒修斯	テーセウス
忒修斯之船	テセウスの船
特百惠	タッパーウェア
特别提款权	特別引出権
特别行政区	特別行政区
特丁基对苯二酚	Tert-ブチルヒドロキノン
特二式内火艇	特二式内火艇
特技	アクロバット
特警判官	ジャッジ・ドレッド
特卡波湖	テカポ湖
特克斯和凯科斯群岛	タークス・カイコス諸島
