# Chinese → Japanese offline glosses
# Source: open-dict-data/wikidict-ja (Wikidata interwiki links)
# Upstream: https://github.com/open-dict-data/wikidict-ja
# License: CC0 1.0 Universal
# Scope: pure-Han entries present in bundled Moran dictionaries
# Format: Chinese<TAB>Japanese; multiple Japanese forms use ・
# Generated: 2026-08-28
吖丁啶	アゼチジン
八角	トウシキミ
八角枫科	ウリノキ科
八进制	八進法
八景	八景
八廓	八角街
八路军	八路軍
八美图	8人の女たち
八莫	バモー
八木天线	八木・宇田アンテナ
八木沼悟志	八木沼悟志
八七会议	八七会議
八岐大蛇	ヤマタノオロチ
八旗制度	八旗
八神庵	八神庵
八朔	ハッサク
八思巴	パクパ
八思巴文	パスパ文字
八宿县	パシュー県
八王之乱	八王の乱
八王子城	八王子城
八王子市	八王子市
八仙	八仙
八小时工作制	八時間労働制
八一宣言	八・一宣言
八乙女光	八乙女光
八音	八音
八音盒	オルゴール
八月初八	8月8日 (旧暦)
八月初二	8月2日 (旧暦)
八月初九	8月9日 (旧暦)
八月初六	8月6日 (旧暦)
八月初三	8月3日 (旧暦)
八月初十	8月10日 (旧暦)
八月初五	8月5日 (旧暦)
八月初一	8月1日 (旧暦)
八月二十	8月20日 (旧暦)
八月三十	8月30日 (旧暦)
八月十八	8月18日 (旧暦)
八月十二	8月12日 (旧暦)
八月十九	8月19日 (旧暦)
八月十六	8月16日 (旧暦)
八月十七	8月17日 (旧暦)
八月十三	8月13日 (旧暦)
八月十四	8月14日 (旧暦)
八月十五	8月15日 (旧暦)
八月十一	8月11日 (旧暦)
八月之光	八月の光
八掌溪	八掌渓
八重山	八重山
八重洲	八重洲
八柱国	八柱国
巴	バール (単位)
巴巴多斯	バルバドス
巴巴里海盗	バルバリア海賊
巴巴妥司	バルバトス
巴比伦	バビロン
巴比伦大淫妇	大淫婦バビロン
巴比妥	バルビタール
巴博斯	ブラバス
巴布亚	パプア
巴布亚省	パプア州
巴布亚新几内亚	パプアニューギニア
巴布延群岛	バブヤン諸島
巴楚县	マラルベシ県
巴达兽	パタモン
巴大蝴	バタフリー
巴丹半岛	バターン半島
巴丹吉林沙漠	バダインジャラン砂漠
巴登	バーデン (領邦)
巴迪亚	バディーア
巴东县	巴東県
巴豆	ハズ
巴豆属	ハズ属
巴顿	パットン
巴恩斯利	バーンズリー
巴尔	バール (モンテネグロ)
巴尔德	バール (アオスタ県)
巴尔德斯	バルデス (スペイン)
巴尔的摩乌鸦	ボルチモア・レイブンズ
巴尔迪	バルディ
巴尔干半岛	バルカン半島
巴尔干山脉	バルカン山脈
巴尔喀什湖	バルハシ湖
巴尔米拉	パルミラ
巴尔瑙尔	バルナウル
巴伐利亚	バイエルン州
巴风特	バフォメット
巴甫洛夫	イワン・パブロフ
巴哥犬	パグ
巴格达	バグダード
巴格兰省	バグラーン州
巴沟站	巴溝駅
巴哈马	バハマ
巴哈姆特	バハムート
巴哈姆特之怒	神撃のバハムート
巴哈欧拉	バハーウッラー
巴基斯坦	パキスタン
巴金	巴金
巴菁子	巴菁子
巴卡拉	バカラ (ムルト＝エ＝モゼル県)
巴科洛德	バコロド
巴克莱银行	バークレイズ
巴克斯	バッカス
巴克夏猪	かごしま黒豚
巴库	バクー
巴拉顿湖	バラトン湖
巴拉圭	パラグアイ
巴拉圭河	パラグアイ川
巴拉莱卡琴	バラライカ
巴拉姆	バラム (悪魔)
巴拉那	パラナ (アルゼンチン)
巴拉那河	パラナ川
巴拉那州	パラナ州
巴拉瑞特	バララット
巴啦啦小魔仙	巴拉拉小魔仙
巴勒莫	パレルモ
巴勒斯坦	パレスチナ
巴勒斯坦国	パレスチナ国
巴勒斯坦民族权力机构	パレスチナ自治政府
巴勒斯坦人	パレスチナ人
巴雷利	バレーリー
巴厘岛	バリ島
巴厘虎	バリトラ
巴黎	パリ
巴黎大学	パリ大学
巴黎高科	ParisTech
巴黎公社	パリ・コミューン
巴黎古监狱	コンシェルジュリー
巴黎绿	花緑青
巴黎世家	バレンシアガ
巴黎条约	パリ条約
巴黎统筹委员会	対共産圏輸出統制委員会
巴里	バーリ
巴里坤哈萨克自治县	バルクル・カザフ自治県
巴力	バアル
巴利语	パーリ語
巴列维王朝	パフラヴィー朝
巴林	バーレーン
巴林国际赛道	バーレーン・インターナショナル・サーキット
巴林石	巴林石
巴林塘海峡	バリンタン海峡
巴林右旗	バイリン右旗
巴林左旗	バイリン左旗
巴罗洛	バローロ
